Wilayah,Luas Panen 2019,Luas Panen 2020,Produksi 2019,Produksi 2020,Produktivitas 2019,Produktivitas 2020,Luas Panen 2021,Luas Panen 2022,Luas Panen 2023,Produksi 2021,Produksi 2022,Produksi 2023,Produktivitas 2021,Produktivitas 2022,Produktivitas 2023,Luas Panen 2024,Produksi 2024,Produktivitas 2024
Bandar Lampung,423.74,523.07,2318.24,2506.64,54.71,47.92,470.07,491.63,477.44,2561.57,2721.97,2444.11,54.49,55.37,51.19,530.53,2716.27,51.2
Lampung Barat,13631.86,13400.6,59142.33,57093.19,43.39,42.6,12303.02,13032.88,13513.57,60665.89,62802.09,70922.62,49.31,48.19,52.48,13405.25,63045.97,47.03
Lampung Selatan,44070.05,54761.95,265878.24,311668.77,60.33,56.91,51178.22,56393.41,52334.35,330325.73,339941.87,294548.78,64.54,60.28,56.28,57884.73,317834.2,54.91
Lampung Tengah,98254.4,113890.72,455234.05,599111.2,46.33,52.6,100290.55,101612.69,108129.91,489447.65,566601.47,608009.47,48.8,55.76,56.23,107704.78,614016.7,57.01
Lampung Timur,80699.48,94847.31,355113.03,459300.61,44.0,48.43,83568.7,91718.06,94070.36,397374.49,449294.9,475668.41,47.55,48.99,50.57,93339.53,482716.29,51.72
Lampung Utara,15080.38,17133.37,61822.68,75751.91,41.0,44.21,16940.92,13705.47,17834.92,74260.22,63452.76,72390.72,43.83,46.3,40.59,15092.55,63178.9,41.86
Mesuji,56247.52,78479.45,246840.77,325509.23,43.89,41.48,65020.17,57654.9,56726.11,336767.8,296934.72,296526.82,51.79,51.5,52.27,56395.22,271572.19,48.16
Metro,2998.62,7280.04,13073.36,41669.07,43.6,57.24,5179.2,5323.92,5279.15,24205.52,29297.35,29992.75,46.74,55.03,56.81,5154.43,29403.78,57.05
Pesawaran,20564.75,22068.41,111281.36,113206.52,54.11,51.3,21260.36,23359.64,23009.98,113402.71,130558.89,121692.61,53.34,55.89,52.89,21910.12,115934.28,52.91
Pesisir Barat,11038.55,12808.37,50951.25,60273.6,46.16,47.06,12215.56,11921.43,10860.16,62295.74,60772.93,60121.34,51,50.98,55.36,11090.78,51619.38,46.54
Pringsewu,21439.28,23041.49,112699.15,130867.36,52.57,56.8,21574.65,23489.05,21752.76,122185.57,137096.53,128637.72,56.63,58.37,59.14,22651.01,143902.58,63.53
Provinsi Lampung,464103.42,545149.05,2164089.33,2650289.64,46.63,48.62,489573.23,518256.06,530108.09,2485452.78,2688159.74,2757898.19,50.77,51.87,52.03,531715.12,2791347.53,52.5
Tanggamus,24437.96,26905.17,121750.98,148158.63,49.82,55.07,22572.24,22563.4,25430.89,123414.48,128674.92,147163.03,54.68,57.03,57.87,23943.52,135017.18,56.39
Tulang Bawang,51559.24,55881.56,217894.34,215987.34,42.26,38.65,52601.29,65510.84,72025.12,232508.52,268323.74,319193.91,44.2,40.96,44.32,75344.09,375139.71,49.79
Tulang Bawang Barat,6071.41,6360.79,30670.11,30361.02,50.52,47.73,6994.69,10254.68,9942.54,33802.34,50700.33,45954.48,48.33,49.44,46.22,7282.52,29538.83,40.56
Way Kanan,17586.18,17766.75,59419.44,78824.55,33.79,44.37,17403.59,21224.06,18720.83,82234.55,100985.27,84631.42,47.25,47.58,45.21,19986.05,95711.27,47.89
,,,,,,,Luas Panen (Ha),,,Produksi (Ton),,,Produktivitas (Ku/Ha),,,"Padi (Luas Panen, Produksi, dan Produktivitas)",,
,,,,,,,Luas Panen (Ha),,,Produksi (Ton),,,Produktivitas (Ku/Ha),,,Luas Panen (Ha),Produksi (Ton),Produktivitas (Ku/Ha)
,,,,,,,Luas Panen (Ha),,,Produksi (Ton),,,Produktivitas (Ku/Ha),,,2024,2024,2024
,,,,,,,2021,2022.0,2023.0,2021,2022.0,2023.0,2021,2022.0,2023.0,"Padi (Luas Panen, Produksi, dan Produktivitas)",,
,,,,,,,2021,2022.0,2023.0,2021,2022.0,2023.0,2021,2022.0,2023.0,Luas Panen (Ha),Produksi (Ton),Produktivitas (Ku/Ha)
,,,,,,,2021,2022.0,2023.0,2021,2022.0,2023.0,2021,2022.0,2023.0,2024,2024,2024
,2019.0,2020.0,2019.0,2020.0,2019.0,2020.0,Luas Panen (Ha),,,Produksi (Ton),,,Produktivitas (Ku/Ha),,,"Padi (Luas Panen, Produksi, dan Produktivitas)",,
,2019.0,2020.0,2019.0,2020.0,2019.0,2020.0,Luas Panen (Ha),,,Produksi (Ton),,,Produktivitas (Ku/Ha),,,Luas Panen (Ha),Produksi (Ton),Produktivitas (Ku/Ha)
,2019.0,2020.0,2019.0,2020.0,2019.0,2020.0,Luas Panen (Ha),,,Produksi (Ton),,,Produktivitas (Ku/Ha),,,2024,2024,2024
,2019.0,2020.0,2019.0,2020.0,2019.0,2020.0,2021,2022.0,2023.0,2021,2022.0,2023.0,2021,2022.0,2023.0,"Padi (Luas Panen, Produksi, dan Produktivitas)",,
,2019.0,2020.0,2019.0,2020.0,2019.0,2020.0,2021,2022.0,2023.0,2021,2022.0,2023.0,2021,2022.0,2023.0,Luas Panen (Ha),Produksi (Ton),Produktivitas (Ku/Ha)
,2019.0,2020.0,2019.0,2020.0,2019.0,2020.0,2021,2022.0,2023.0,2021,2022.0,2023.0,2021,2022.0,2023.0,2024,2024,2024
