Bulan,GKG_2019,GKG_2020,GKG_2021,GKP_2019,GKP_2020,GKP_2021,GKG_2022,GKG_2023,GKG_2024,GKP_2022,GKP_2023,GKP_2024
Agustus,5165.96,5190.0,4703.57,4817.02,4820.0,4469.05,5033,7312.0,7103.0,4300,6376.0,6383.0
April,4637.5,4942.31,4371.43,4175.86,4326.79,3622.35,4936,5250.0,7186.111111111111,3996,5222.0,5001.0
Desember,5428.24,5056.82,5190.74,5339.29,4322.73,4763.89,5698,7564.0,7186.111111111111,5314,6952.0,6052.111111111111
Februari,5340.0,5700.0,5129.76,5167.84,5331.58,4576.09,5317,6357.0,8523.0,4750,5813.0,6052.111111111111
Januari,5599.61,5570.83,5165.0,5355.95,5247.14,4850.0,5381,5978.0,8118.0,5360,5744.0,7420.0
Juli,5062.12,5032.35,4670.0,4554.17,4642.31,4205.0,4971,6893.0,6566.0,4410,5844.0,6238.0
Juni,4738.28,4566.67,4576.47,3987.5,3896.51,4370.83,4945,6064.0,6264.0,4234,5938.0,5500.0
Maret,5137.5,5704.17,4800.0,4748.54,4918.57,3917.57,5240,6063.0,7959.0,4479,5404.0,6595.0
Mei,5217.069999999999,4671.43,4413.33,3978.23,3872.37,3851.56,4625,5710.0,5959.0,4015,5346.0,4980.0
November,5455.78,4966.67,4946.88,5308.33,4225.81,4433.82,5404,7576.0,7186.111111111111,5100,6885.0,6052.111111111111
Oktober,5422.5,5114.29,4770.83,5293.53,4368.75,4332.22,5333,7404.0,7037.0,4855,6663.0,6165.0
September,5400.28,5185.29,4715.38,5204.86,4625.0,4279.69,5247,7312.0,7146.0,4608,7194.0,6187.0
